ward,closest_ward1,closest_ward2,closest_ward3,closest_ward4
Yelachenahalli,Jaraganahalli,Kumaraswamy Layout,Shakambari Nagar,Banashankari Temple
Singasandra,Muneshwara Nagar,Hongasandra,Mangammanapalya,Begur
Begur,Singasandra,Muneshwara Nagar,Hongasandra,Mangammanapalya
Gottigere,Anjanapur,Arakere,Konanakunte,Puttenahalli
Anjanapur,Gottigere,Konanakunte,Yelachenahalli,Puttenahalli
Uttarahalli,Kumaraswamy Layout,Padmanabha Nagar,Chikkalasandra,Vasanthapura
Konanakunte,Yelachenahalli,Vasanthapura,Puttenahalli,Jaraganahalli
Vasanthapura,Kumaraswamy Layout,Konanakunte,Uttarahalli,Yelachenahalli
HSR Layout,Mangammanapalya,Muneshwara Nagar,Jakkasandra,Singasandra
Bommanahalli,Bilekahalli,Hongasandra,Arakere,Kuvempu Nagar
Jaraganahalli,Yelachenahalli,Sarakki,Shakambari Nagar,Puttenahalli
Puttenahalli,Sarakki,J.P.Nagar,Jaraganahalli,Arakere
Bilekahalli,Bommanahalli,Arakere,Kuvempu Nagar,BTM Layout
Hongasandra,Bommanahalli,Muneshwara Nagar,Bilekahalli,Begur
Mangammanapalya,Muneshwara Nagar,HSR Layout,Jakkasandra,Hongasandra
Arakere,Bilekahalli,Puttenahalli,Bommanahalli,Sarakki
Shettyhalli,Mallasandra,T-Dasarahalli,Chokkasandra,H.M.T
Mallasandra,Shettyhalli,T-Dasarahalli,Bagalagunte,Chokkasandra
Bagalagunte,Mallasandra,T-Dasarahalli,Chokkasandra,Shettyhalli
T-Dasarahalli,Mallasandra,Chokkasandra,Bagalagunte,Shettyhalli
Chokkasandra,Peenya Industrial Area,T-Dasarahalli,Shettyhalli,Rajagopala Nagar
Peenya Industrial Area,Lakshmidevi Nagar,Rajagopala Nagar,Chokkasandra,Laggere
Rajagopala Nagar,Hegganahalli,Laggere,Peenya Industrial Area,Lakshmidevi Nagar
Hegganahalli,Rajagopala Nagar,Laggere,Lakshmidevi Nagar,Peenya Industrial Area
Benniganahalli,C.V.Raman Nagar,A.Narayanapura,Vijinapura,Banasawadi
C.V.Raman Nagar,Byrasandra,Vignana Nagar,A.Narayanapura,Jeevanbhima Nagar
Hosathippasandra,HSR Layout,Singasandra,Muneshwara Nagar,Bellandur
Sarvagna Nagar,Ulsoor,Jogupalya,Dommalur,Benniganahalli
