Dharmarayaswamy Temple Ward,Acquired public road.
A.Narayanapura,Garbage
Uttarahalli,Garbage collection
Hosakerehalli,Construction of compound extended to road
Hoysala Nagar,Water logging and Sewage Overflow
Hoysala Nagar,Road need to repair
Sunkenahalli,Blocked Sewage pipeline and overflowing manhole
Varthur,"Terrible condition of Roads at Idgha Road, Varthur"
Varthur,Unable to pay property tax online
Puttenahalli,Stray dog
Bellandur,Poor road conditions
Shankaramata,Garbage collection problem
A.Narayanapura,Encroachment of road by neighbor
Mathikere,No move towards issue of independent khatha and joint khatha....continuation of my earlier complaints
Dattathreya Temple,non cleaning of vacant sites
Hagadooru,Drainage overflow into home due to Waste disposal and illegal construction
Bellandur,Encumbrance Certificate issue reported in 2009 not corrected still
Lingarajapura,Clean the garbage from the gutter
HBR Layout,Drainage system at Bengaluru
Jalahalli,"No 912, 1st Main Road, Bhubhalinagar, Jalahalli Village, Bangalore 560013"
K.R.Puram,Garbage Clearance
Uttarahalli,No proper roads and loads of garbage
Hagadooru,Garbage cleaning
Banashankari Temple Ward,Removal of garbage point located at 34th cross 9th main road BSK 2nd stage Bangaluru 560070
Moodalapalya,Road blocking resulting in accidents
Shanthi Nagar,Water logging in Richmond road near to HDFC Bank
Horamavu,Culvert construction on Horamavu Agara Road near Horamavu Agara Road
Chikpete,Sewage chamber Blockage
Kottigepalya,Need to pay property tax
Sarakki,Garbage clearance
C.V.Raman Nagar,Drainage water flowing on the road
Jayanagar East,Illegal flexes in Jayanagar assembly
Byatarayanapura,Duplicate property tax payment for the year 2016-2017
Singasandra,Potholes and Bad condition of Road from Kaikondrahalli to Central jail after digging the road for pipeline laying
Rajaji Nagar,illegal flexes
Rajarajeshwari Nagar,Foul smell from stromwater drain - Methane gas come out
Neelasandra,sewage problem
Thanisandra,Serious housefly infestation being a potential public health issue
Varthur,Balegere Panathur junction blocked under the railway bridge
Varthur,Balegere Panathur junction blocked under the railway bridge
Lingarajapura,"Drainage mud and other kept on road - creating mosquito, smell, disturbing commutation"
Varthur,Balegere Panathur junction blocked under the railway bridge
Varthur,Balegere Panathur junction blocked under the railway bridge
Konanakunte,Garbage dumped all over the road
Shiva Nagar,"15 feet cabin Strom water drain has collapsed ward 107, due to last night rain"
Shivaji Nagar,Garbage and sewage water leakage
Shivaji Nagar,Garbage and sewage water leakage
Ganga Nagar,Street Light Issue
C.V.Raman Nagar,Illegal encroachment of Storm Water Drain
Hoysala Nagar,Tree branch falling posing danger to pedestrians and vehicles
Anjanapur,No Garbage Pickup to Restaurant
Doddabommasandra,I want to complaint about damaged road which is completely filled with rain water
Hoysala Nagar,Tree branch falling posing danger to pedestrians and vehicles
Lingarajapura,"RAIN WATER STAGGERING IN FRONT OF THE GOVT SCHOOL, IT IS VERY DIFFICULT FOR THE SCHOOL CHILDREN TO ENTER INTO THE SCHOOL AND IT IS VERY DANGEROUS FOR HEALTH HAZARDS, PLS DO SOMETHING."
Shiva Nagar,Huge Garbage Pile - Requesting to shift collection point
Basavangudi,To clear the debris
Sagayapuram,Irrugular water supply
Kammanahalli,Garbage not cleared
HSR Layout,Drainage overflow
