Ward,Complaint
Herohalli,About water problem for 10house
Hagadooru,Lot of time power fluctuations
Jalahalli,STREET DOG MENACE
Vasanthapura,Garbage dumping in the area
Vasanthapura,Potholes in road due commercial water tanker movement in residential area
Rajarajeshwari Nagar,"Throwing Garbage on the Road behind BET Convent School High school building , R.R.Nagar"
Banasawadi,Tree cutting on putpath HRBR 2nd black 5th Main near SIB Bank
Yelahanka Satellite,Burning Plastic bag and garbage in front of my house
BTM Layout,BUILDING CONSTRUCTION AND VIOLATION OF BBMP PLAN AND RULES
Madiwala,Garbages dump in vacant site causing health problems to public and school going children
Madiwala,Garbages dump in vacant site causing health problems to public and school going children
Hagadooru,Garbage burning in Nalluhalli
Begur,Unauthorized construction
Vasanthapura,Garbage collection not done regularly
Vasanthapura,"Street Light not working in Narayanagar Block 1, Raghuvanahally, Bangalore"
Hosathippasandra,Garbage collection
Kuvempu Nagar,"regarding stray dogs are more in singapur garden , no proper roads, trees are more should be trimmed"
Rajaji Nagar,Removal of dried branches and trimming of tall branches
Kuvempu Nagar,Copy of Birth Certificate
Nandini Layout,Garbage
