availability,size,total_sqft,bath,balcony,Pincode,price
20,2,1448,2,2,842001,68
20,2,1762,3,3,842001,110
20,2,1105,2,1,751009,38.65
20,2,1825,3,1,751002,105
20,2,296,1,0,742149,22.89
20,2,1200,4,1,742149,85
20,2,1185,2,2,742149,43
20,2,1320,2,1,742149,38.12
21,2,1058,2,1,742149,48
21,2,1220,2,2,742149,60
21,2,925,2,1,742149,25
21,2,1200,2,1,695521,72
21,2,1160,2,2,682002,40.6
21,2,600,4,3,682002,72
21,2,1411,3,2,680683,91.72
21,2,1550,3,2,680683,78
21,2,3250,4,3,680683,230
21,2,2475,4,0,670109,130
21,2,2503,4,0,641608,188
21,2,2524,5,2,641105,190
21,2,1063,2,2,641008,42
21,2,1077,2,1,641007,37.7
21,2,1200,3,2,635126,44
21,2,1500,3,2,627425,70
21,2,1045,2,2,627425,76.77
21,2,1290,2,3,627425,45.15
21,2,1400,2,1,627425,78
21,2,1600,3,2,627425,58.14
21,2,3095,3,3,627425,375
21,2,1545,2,1,627425,58
21,2,1680,3,1,627011,112
21,2,1350,2,1,626190,67.5
21,2,950,2,1,626190,38
21,2,1050,2,2,626190,45
21,2,1305,2,2,626190,49
21,2,800,4,2,626190,120
21,2,2700,7,2,626190,125
21,2,1100,3,1,626190,78
21,2,3500,5,0,626190,160
21,2,1634,3,1,626001,83.33
21,2,1352,2,2,622001,85
21,2,1145,2,2,622001,65
21,2,1240,2,0,622001,43.79
21,2,2200,3,2,600116,190
21,2,1020,2,1,600097,39
21,2,3600,4,0,600097,365
21,2,1168,2,1,600083,61
21,2,1205,2,1,600083,75
21,2,1195,2,2,600063,100
21,2,1028,2,1,600063,49
21,2,1175,2,2,600063,48.27
21,2,1550,2,2,600063,90
21,2,1826,3,2,600063,165
21,2,2400,5,2,600063,160
21,2,1603,3,2,600042,96
21,2,1350,3,1,600012,72
21,2,714,1,1,586101,28
21,2,1215,2,3,586101,65
21,2,1405,2,2,586101,77
21,2,1142,2,1,586101,51
21,2,4000,4,3,585401,170
21,2,1870,3,2,585401,90
21,2,1313,2,2,584103,73
21,2,1945,3,3,583234,120
21,2,1573,3,2,577228,95
21,2,1255,2,1,574154,92
21,2,1400,3,2,574154,91.15
21,2,1235,2,2,573201,43.63
21,2,1380,2,1,573201,52
21,2,1500,9,2,573201,250
21,2,1238,2,1,573201,67
21,2,1465,2,3,573201,74.72
21,2,1418,2,2,573201,103
21,2,1650,3,1,573201,165
21,2,351,1,1,573201,16
21,2,1279,2,2,573201,48
21,2,1870,3,1,573201,200
21,2,1500,5,1,573201,230
21,2,2526,2,2,573201,250
21,2,1550,2,1,573201,150
21,2,1845,2,1,573201,68.27
21,2,1360,2,1,573201,59.27
21,2,1150,2,1,573201,75
21,2,1260,2,2,573201,49.5
21,2,1200,3,1,573201,74
21,2,965,2,1,573201,42.5
21,2,1350,2,3,573201,48
21,2,1447,2,1,573201,75.97
21,2,1229,3,1,573201,86.03
21,2,1027,2,2,573201,43
21,2,1153,2,1,573201,48.5
21,2,1065,2,2,573201,50
21,2,1030,2,3,573201,61
21,2,1340,2,2,573201,61
21,2,4000,5,0,573201,212
21,2,600,1,0,573201,32
21,2,1410,2,3,573201,44.42
21,2,1055,2,2,573201,45.35
21,2,1304,2,1,573201,79
21,2,2720,4,1,573201,485
21,2,990,2,1,573201,31.5
21,2,1035,2,1,573201,39.33
21,2,1120,2,2,573201,43
21,2,1300,2,2,573201,73
21,2,1239,2,1,573201,82
21,2,1403,3,3,573201,51.63
21,2,1365,2,1,573201,92
21,2,1165,2,1,573201,135
21,2,1130,2,3,573201,45.19
21,2,1776.42,3,2,573201,105
21,2,900,4,3,573201,175
21,2,1194,2,2,573201,47
21,2,1107,2,2,573201,33
21,2,2319,3,2,573201,180
21,2,1520,3,3,573201,80
21,2,1536,3,1,573201,89
21,2,3000,4,2,573201,240
21,2,1050,2,1,573201,38
21,2,1850,3,2,573201,146
21,2,1112,2,2,573201,62
21,2,1535,3,2,573201,72.5
21,2,1050,2,1,573201,35
21,2,2400,3,2,573201,370
21,2,1250,3,2,573201,65
21,2,1187,2,3,573201,52
21,2,1164,2,1,573201,56
21,2,1395,2,1,573201,62.78
21,2,2072,3,2,573201,108
21,2,1450,3,3,573201,60.91
21,2,1550,3,2,573201,82
21,2,1315,2,2,573201,90
21,2,3067,4,3,573201,230
21,2,1210,2,2,573201,72
21,2,1075,2,1,573201,47
21,2,11338,9,1,573201,1000
21,2,1215,3,1,573201,42.2
21,2,1470,2,2,573201,75
21,2,30000,4,0,573201,2100
21,2,1590,2,2,573201,125
21,2,1050,2,1,573201,36.75
21,2,1306,2,1,573201,55.91
21,2,2000,3,2,573201,250
21,2,1445,3,2,573201,64
21,2,1220,3,2,573201,58
21,2,3190,3,1,573201,160
21,2,1215,2,1,573201,51.26
21,2,1920,2,1,573201,88
21,2,1390,2,2,573201,60
21,2,800,2,1,573201,75
21,2,600,3,2,573201,100
21,2,1196,2,0,573201,71.74
